Restaurant,Ratings,Cusine,Price_For_1,Links,Distance,Offers
High Ultra Lounge - Sheraton Grand Bangalore Hotel,4.3,"North Indian, Continental, Finger Food, Desserts",1800.0,https://www.zomato.com/bangalore/high-ultra-lounge-sheraton-grand-bangalore-hotel-malleshwaram-bangalore/info,6.2 km,15% OFF
Koramangala SOCIAL,4.4,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Korean, Beverages",750.0,https://www.zomato.com/koramangalasocial/info,4.5 km,-
Muro,4.1,"Thai, Cantonese, Salad, Asian, Chinese, Desserts",1500.0,https://www.zomato.com/bangalore/muro-church-street-bangalore/info,997 m,-
Flo,4.1,"Asian, Thai, Continental, Finger Food, Sushi, Desserts, Beverages",950.0,https://www.zomato.com/bangalore/flo-church-street-bangalore/info,1.4 km,25% OFF
Öz by Kebapci,4.5,"Turkish, Mediterranean, Middle Eastern",900.0,https://www.zomato.com/bangalore/%C3%B6z-by-kebapci-lavelle-road-bangalore/info,184 m,-
Sozo Skyline,New,"Asian, Chinese, Thai, Sushi",900.0,https://www.zomato.com/bangalore/sozo-skyline-lavelle-road-bangalore/info,494 m,10% OFF
Hard Rock Cafe,4.6,"American, Continental, Italian, Wraps, Burger, Desserts, Fast Food, Beverages",1250.0,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info,922 m,20% OFF
Scottish Pub,New,"Asian, Chinese, Burger, North Indian, Continental, Bar Food, South Indian, Pasta",600.0,https://www.zomato.com/bangalore/scottish-pub-st-marks-road/info,713 m,10% OFF
Babylonia - Global Food & Cocktails,4.5,"Continental, North Indian, Asian, Italian, Mughlai, Mediterranean, Bar Food, Desserts",750.0,https://www.zomato.com/bangalore/babylonia-global-food-cocktails-koramangala-7th-block-bangalore/info,4.6 km,10% OFF
Secret Story,3.9,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages, Vietnamese, Italian",750.0,https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info,4.9 km,10% OFF
Bramble,New,"Continental, Asian, North Indian, Italian, Bar Food, Beverages",900.0,https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info,6.3 km,10% OFF
The Big Barbeque,4.2,"North Indian, Chinese, Ice Cream, Mangalorean, Fast Food, Salad, Desserts",900.0,https://www.zomato.com/bangalore/the-big-barbeque-bannerghatta-road-bangalore/info,9.9 km,10% OFF
Gilly's Restobar,4.3,"North Indian, Continental, Oriental, Pizza, Fast Food, Chinese, Desserts, Beverages",600.0,https://www.zomato.com/bangalore/gillys-restobar-1-airport-road-bangalore/info,6.7 km,15% OFF
Absolute Shawarma,3.9,"Shawarma, Fast Food, Burger, Pizza, Wraps, Momos, Waffle, Shake",150.0,https://www.zomato.com/bangalore/absolute-shawarma-chanapatna-bangalore/info,56.2 km,-
Vanamo,New,"Continental, Cafe",1000.0,https://www.zomato.com/bangalore/vanamo-indiranagar-bangalore/info,5.1 km,10% OFF
Magic Mocktails Cafe,-,"Beverages, Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Shake",100.0,https://www.zomato.com/bangalore/magic-mocktails-cafe-2-chanapatna-bangalore/info,55.6 km,-
